danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,uri,track_href,analysis_url,duration_ms,time_signature
0.551,0.384,0,-13.554,1,0.106,0.825,0.0,0.145,0.417,129.283,0Q4a3PdGEME9w8Jgqa0Gf3,spotify:track:0Q4a3PdGEME9w8Jgqa0Gf3,https://api.spotify.com/v1/tracks/0Q4a3PdGEME9w8Jgqa0Gf3,https://api.spotify.com/v1/audio-analysis/0Q4a3PdGEME9w8Jgqa0Gf3,309133,4
0.238,0.247,5,-15.981,1,0.0362,0.972,0.00585,0.116,0.208,84.458,5WKxcFnCO244tMnVElhFuk,spotify:track:5WKxcFnCO244tMnVElhFuk,https://api.spotify.com/v1/tracks/5WKxcFnCO244tMnVElhFuk,https://api.spotify.com/v1/audio-analysis/5WKxcFnCO244tMnVElhFuk,209680,5
0.689,0.333,0,-12.134,0,0.0307,0.817,5.13e-06,0.285,0.471,115.835,2stkLJ0JNcXkIRDNF3ld6c,spotify:track:2stkLJ0JNcXkIRDNF3ld6c,https://api.spotify.com/v1/tracks/2stkLJ0JNcXkIRDNF3ld6c,https://api.spotify.com/v1/audio-analysis/2stkLJ0JNcXkIRDNF3ld6c,124160,4
0.163,0.325,9,-12.268,1,0.0337,0.993,0.135,0.214,0.0815,88.31,3GQVrowpcnIFN2yStc1DGl,spotify:track:3GQVrowpcnIFN2yStc1DGl,https://api.spotify.com/v1/tracks/3GQVrowpcnIFN2yStc1DGl,https://api.spotify.com/v1/audio-analysis/3GQVrowpcnIFN2yStc1DGl,123200,5
0.24,0.0881,5,-19.065,0,0.041,0.78,5.88e-06,0.152,0.169,171.91,3jfxeTcEfcH8wNMnGNh7U1,spotify:track:3jfxeTcEfcH8wNMnGNh7U1,https://api.spotify.com/v1/tracks/3jfxeTcEfcH8wNMnGNh7U1,https://api.spotify.com/v1/audio-analysis/3jfxeTcEfcH8wNMnGNh7U1,166307,4
0.672,0.322,7,-17.669,1,0.0339,0.144,2.96e-05,0.074,0.496,113.852,28UMEtwyUUy5u0UWOVHwiI,spotify:track:28UMEtwyUUy5u0UWOVHwiI,https://api.spotify.com/v1/tracks/28UMEtwyUUy5u0UWOVHwiI,https://api.spotify.com/v1/audio-analysis/28UMEtwyUUy5u0UWOVHwiI,201680,4
0.462,0.242,7,-19.3,1,0.0616,0.447,0.0,0.115,0.652,168.006,78EMhiyAcalWWtnpk20Eoo,spotify:track:78EMhiyAcalWWtnpk20Eoo,https://api.spotify.com/v1/tracks/78EMhiyAcalWWtnpk20Eoo,https://api.spotify.com/v1/audio-analysis/78EMhiyAcalWWtnpk20Eoo,183200,4
0.472,0.579,11,-10.424,1,0.15,0.336,0.000163,0.209,0.518,157.998,0I8mZRtlFGOqZayJbEAdxL,spotify:track:0I8mZRtlFGOqZayJbEAdxL,https://api.spotify.com/v1/tracks/0I8mZRtlFGOqZayJbEAdxL,https://api.spotify.com/v1/audio-analysis/0I8mZRtlFGOqZayJbEAdxL,145640,4
0.471,0.832,0,-7.717,1,0.274,0.46,0.0,0.0821,0.665,164.863,4InER8nvZnn3nt56anVVNO,spotify:track:4InER8nvZnn3nt56anVVNO,https://api.spotify.com/v1/tracks/4InER8nvZnn3nt56anVVNO,https://api.spotify.com/v1/audio-analysis/4InER8nvZnn3nt56anVVNO,140573,4
0.675,0.456,0,-10.354,1,0.0512,0.231,0.0,0.173,0.484,121.235,03wwl6PnZyltRjeMkxWzUQ,spotify:track:03wwl6PnZyltRjeMkxWzUQ,https://api.spotify.com/v1/tracks/03wwl6PnZyltRjeMkxWzUQ,https://api.spotify.com/v1/audio-analysis/03wwl6PnZyltRjeMkxWzUQ,140227,4
0.69,0.819,0,-6.112,1,0.0647,0.402,2.26e-05,0.377,0.748,117.485,6FWfjQDaC1PyKoKo2s5MN5,spotify:track:6FWfjQDaC1PyKoKo2s5MN5,https://api.spotify.com/v1/tracks/6FWfjQDaC1PyKoKo2s5MN5,https://api.spotify.com/v1/audio-analysis/6FWfjQDaC1PyKoKo2s5MN5,124200,4
0.572,0.168,7,-14.255,1,0.107,0.956,0.00104,0.127,0.302,100.101,0uDuqVAWCOYEH4qM3vWe1g,spotify:track:0uDuqVAWCOYEH4qM3vWe1g,https://api.spotify.com/v1/tracks/0uDuqVAWCOYEH4qM3vWe1g,https://api.spotify.com/v1/audio-analysis/0uDuqVAWCOYEH4qM3vWe1g,271227,3
0.672,0.416,5,-12.439,1,0.311,0.921,0.00101,0.0975,0.914,126.576,16PvHcfDesVGunaBdhK0nn,spotify:track:16PvHcfDesVGunaBdhK0nn,https://api.spotify.com/v1/tracks/16PvHcfDesVGunaBdhK0nn,https://api.spotify.com/v1/audio-analysis/16PvHcfDesVGunaBdhK0nn,168600,4
0.663,0.276,9,-11.565,0,0.118,0.959,1.84e-05,0.586,0.791,91.352,3CD5lcPCsHt0DEJDF1OnWy,spotify:track:3CD5lcPCsHt0DEJDF1OnWy,https://api.spotify.com/v1/tracks/3CD5lcPCsHt0DEJDF1OnWy,https://api.spotify.com/v1/audio-analysis/3CD5lcPCsHt0DEJDF1OnWy,82000,4
0.746,0.404,7,-15.09,0,0.0995,0.662,0.000238,0.281,0.795,96.317,2EeVPGHq2I7fjeDfT6LEYX,spotify:track:2EeVPGHq2I7fjeDfT6LEYX,https://api.spotify.com/v1/tracks/2EeVPGHq2I7fjeDfT6LEYX,https://api.spotify.com/v1/audio-analysis/2EeVPGHq2I7fjeDfT6LEYX,279453,4
0.455,0.428,0,-9.938,1,0.0462,0.714,0.00753,0.177,0.961,205.329,1mlZOeDDhMDc8HPtUWnydb,spotify:track:1mlZOeDDhMDc8HPtUWnydb,https://api.spotify.com/v1/tracks/1mlZOeDDhMDc8HPtUWnydb,https://api.spotify.com/v1/audio-analysis/1mlZOeDDhMDc8HPtUWnydb,56653,4
0.308,0.19,0,-16.835,1,0.0421,0.919,1.21e-05,0.18,0.253,94.762,6P316E7tFylzpVrDrXVF9s,spotify:track:6P316E7tFylzpVrDrXVF9s,https://api.spotify.com/v1/tracks/6P316E7tFylzpVrDrXVF9s,https://api.spotify.com/v1/audio-analysis/6P316E7tFylzpVrDrXVF9s,147707,4
